Match ID,Date,Venue,Bat First,Bat Second,Innings,Over,Ball,Batter,Non Striker,Bowler,Batter Runs,Extra Runs,Runs From Ball,Ball Rebowled,Extra Type,Wicket,Method,Player Out,Innings Runs,Innings Wickets,Target Score,Runs to Get,Balls Remaining,Winner,Chased Successfully,Total Batter Runs,Total Non Striker Runs,Batter Balls Faced,Non Striker Balls Faced,Player Out Runs,Player Out Balls Faced,Bowler Runs Conceded,Valid Ball
65,2024-05-15,"Barsapara Cricket Stadium, Guwahati",Rajasthan Royals,Punjab Kings,1,0,1,YBK Jaiswal,T Kohler-Cadmore,SM Curran,4,0,4,0,[],0,,,4,0,,,,Punjab Kings,0,,,,,,,4,1
65,2024-05-15,"Barsapara Cricket Stadium, Guwahati",Rajasthan Royals,Punjab Kings,1,0,2,YBK Jaiswal,T Kohler-Cadmore,SM Curran,0,0,0,0,[],0,,,4,0,,,,Punjab Kings,0,,,,,,,0,1
65,2024-05-15,"Barsapara Cricket Stadium, Guwahati",Rajasthan Royals,Punjab Kings,1,0,3,YBK Jaiswal,T Kohler-Cadmore,SM Curran,0,0,0,0,[],0,,,4,0,,,,Punjab Kings,0,,,,,,,0,1
65,2024-05-15,"Barsapara Cricket Stadium, Guwahati",Rajasthan Royals,Punjab Kings,1,0,4,YBK Jaiswal,T Kohler-Cadmore,SM Curran,0,0,0,0,[],1,bowled,YBK Jaiswal,4,1,,,,Punjab Kings,0,,,,,,,0,1
65,2024-05-15,"Barsapara Cricket Stadium, Guwahati",Rajasthan Royals,Punjab Kings,1,0,5,SV Samson,T Kohler-Cadmore,SM Curran,1,0,1,0,[],0,,,5,1,,,,Punjab Kings,0,,,,,,,1,1
65,2024-05-15,"Barsapara Cricket Stadium, Guwahati",Rajasthan Royals,Punjab Kings,1,0,6,T Kohler-Cadmore,SV Samson,SM Curran,4,0,4,0,[],0,,,9,1,,,,Punjab Kings,0,,,,,,,4,1
65,2024-05-15,"Barsapara Cricket Stadium, Guwahati",Rajasthan Royals,Punjab Kings,1,1,1,SV Samson,T Kohler-Cadmore,Arshdeep Singh,1,0,1,0,[],0,,,10,1,,,,Punjab Kings,0,,,,,,,1,1
65,2024-05-15,"Barsapara Cricket Stadium, Guwahati",Rajasthan Royals,Punjab Kings,1,1,2,T Kohler-Cadmore,SV Samson,Arshdeep Singh,0,0,0,0,[],0,,,10,1,,,,Punjab Kings,0,,,,,,,0,1
65,2024-05-15,"Barsapara Cricket Stadium, Guwahati",Rajasthan Royals,Punjab Kings,1,1,3,T Kohler-Cadmore,SV Samson,Arshdeep Singh,0,0,0,0,[],0,,,10,1,,,,Punjab Kings,0,,,,,,,0,1
65,2024-05-15,"Barsapara Cricket Stadium, Guwahati",Rajasthan Royals,Punjab Kings,1,1,4,T Kohler-Cadmore,SV Samson,Arshdeep Singh,1,0,1,0,[],0,,,11,1,,,,Punjab Kings,0,,,,,,,1,1
65,2024-05-15,"Barsapara Cricket Stadium, Guwahati",Rajasthan Royals,Punjab Kings,1,1,5,SV Samson,T Kohler-Cadmore,Arshdeep Singh,0,0,0,0,[],0,,,11,1,,,,Punjab Kings,0,,,,,,,0,1
