Match ID,Date,Venue,Bat First,Bat Second,Innings,Over,Ball,Batter,Non Striker,Bowler,Batter Runs,Extra Runs,Runs From Ball,Ball Rebowled,Extra Type,Wicket,Method,Player Out,Innings Runs,Innings Wickets,Target Score,Runs to Get,Balls Remaining,Winner,Chased Successfully,Total Batter Runs,Total Non Striker Runs,Batter Balls Faced,Non Striker Balls Faced,Player Out Runs,Player Out Balls Faced,Bowler Runs Conceded,Valid Ball
,,,,,1,1,1,RG Sharma,Ishan Kishan,Mohammad Nabi,1,0,1,,,0,,,1,0,,,119,,,,,,,,,,
,,,,,1,1,2,Ishan Kishan,RG Sharma,Mohammad Nabi,6,0,6,,,0,,,7,0,,,118,,,,,,,,,,
,,,,,1,1,3,Ishan Kishan,RG Sharma,Mohammad Nabi,0,0,0,,,0,,,7,0,,,117,,,,,,,,,,
,,,,,1,1,4,Ishan Kishan,RG Sharma,Mohammad Nabi,1,0,1,,,0,,,8,0,,,116,,,,,,,,,,
,,,,,1,1,5,RG Sharma,Ishan Kishan,Mohammad Nabi,0,0,0,,,0,,,8,0,,,115,,,,,,,,,,
,,,,,1,1,6,RG Sharma,Ishan Kishan,Mohammad Nabi,0,0,0,,,0,,,8,0,,,114,,,,,,,,,,
,,,,,1,2,1,Ishan Kishan,RG Sharma,S Kaul,0,0,0,,,0,,,8,0,,,113,,,,,,,,,,
,,,,,1,2,2,Ishan Kishan,RG Sharma,S Kaul,4,0,4,,,0,,,12,0,,,112,,,,,,,,,,
,,,,,1,2,3,Ishan Kishan,RG Sharma,S Kaul,4,0,4,,,0,,,16,0,,,111,,,,,,,,,,
,,,,,1,2,4,Ishan Kishan,RG Sharma,S Kaul,4,0,4,,,0,,,20,0,,,110,,,,,,,,,,
,,,,,1,2,5,Ishan Kishan,RG Sharma,S Kaul,4,0,4,,,0,,,24,0,,,109,,,,,,,,,,
,,,,,1,2,6,Ishan Kishan,RG Sharma,S Kaul,2,0,2,,,0,,,26,0,,,108,,,,,,,,,,
,,,,,1,3,1,RG Sharma,Ishan Kishan,Mohammad Nabi,4,0,4,,,0,,,30,0,,,107,,,,,,,,,,
,,,,,1,3,2,RG Sharma,Ishan Kishan,Mohammad Nabi,1,0,1,,,0,,,31,0,,,106,,,,,,,,,,
,,,,,1,3,3,Ishan Kishan,RG Sharma,Mohammad Nabi,4,0,4,,,0,,,35,0,,,105,,,,,,,,,,
,,,,,1,3,4,Ishan Kishan,RG Sharma,Mohammad Nabi,1,0,1,,,0,,,36,0,,,104,,,,,,,,,,
,,,,,1,3,5,RG Sharma,Ishan Kishan,Mohammad Nabi,1,0,1,,,0,,,37,0,,,103,,,,,,,,,,
,,,,,1,3,6,Ishan Kishan,RG Sharma,Mohammad Nabi,4,0,4,,,0,,,41,0,,,102,,,,,,,,,,
,,,,,1,4,1,RG Sharma,Ishan Kishan,JO Holder,4,0,4,,,0,,,45,0,,,101,,,,,,,,,,
,,,,,1,4,2,RG Sharma,Ishan Kishan,JO Holder,1,0,1,,,0,,,46,0,,,100,,,,,,,,,,
,,,,,1,4,3,Ishan Kishan,RG Sharma,JO Holder,2,0,2,,,0,,,48,0,,,99,,,,,,,,,,
,,,,,1,4,4,Ishan Kishan,RG Sharma,JO Holder,6,0,6,,,0,,,54,0,,,98,,,,,,,,,,
,,,,,1,4,5,Ishan Kishan,RG Sharma,JO Holder,0,1,1,,,0,,,55,0,,,97,,,,,,,,,,
,,,,,1,4,6,Ishan Kishan,RG Sharma,JO Holder,4,0,4,,,0,,,59,0,,,96,,,,,,,,,,
,,,,,1,4,7,Ishan Kishan,RG Sharma,JO Holder,4,0,4,,,0,,,63,0,,,95,,,,,,,,,,
,,,,,1,5,1,RG Sharma,Ishan Kishan,Umran Malik,0,0,0,,,0,,,63,0,,,95,,,,,,,,,,
,,,,,1,5,2,RG Sharma,Ishan Kishan,Umran Malik,4,0,4,,,0,,,67,0,,,94,,,,,,,,,,
,,,,,1,5,3,RG Sharma,Ishan Kishan,Umran Malik,1,0,1,,,0,,,68,0,,,93,,,,,,,,,,
,,,,,1,5,4,Ishan Kishan,RG Sharma,Umran Malik,4,0,4,,,0,,,72,0,,,92,,,,,,,,,,
,,,,,1,5,5,Ishan Kishan,RG Sharma,Umran Malik,2,0,2,,,0,,,74,0,,,91,,,,,,,,,,
,,,,,1,5,6,Ishan Kishan,RG Sharma,Umran Malik,4,0,4,,,0,,,78,0,,,90,,,,,,,,,,
