Innings,Over,Ball,batter,bowler,non_striker,runs_batter,runs_extras,runs_total,extras_wides,Wicket,Player_Out,review_by,review_umpire,review_batter,review_decision,extras_byes,extras_legbyes
1,0,1,RG Sharma,Mohammad Nabi,Ishan Kishan,1,0,1,,,,,,,,,
1,0,2,Ishan Kishan,Mohammad Nabi,RG Sharma,6,0,6,,,,,,,,,
1,0,3,Ishan Kishan,Mohammad Nabi,RG Sharma,0,0,0,,,,,,,,,
1,0,4,Ishan Kishan,Mohammad Nabi,RG Sharma,1,0,1,,,,,,,,,
1,0,5,RG Sharma,Mohammad Nabi,Ishan Kishan,0,0,0,,,,,,,,,
1,0,6,RG Sharma,Mohammad Nabi,Ishan Kishan,0,0,0,,,,,,,,,
1,1,1,Ishan Kishan,S Kaul,RG Sharma,0,0,0,,,,,,,,,
1,1,2,Ishan Kishan,S Kaul,RG Sharma,4,0,4,,,,,,,,,
1,1,3,Ishan Kishan,S Kaul,RG Sharma,4,0,4,,,,,,,,,
1,1,4,Ishan Kishan,S Kaul,RG Sharma,4,0,4,,,,,,,,,
1,1,5,Ishan Kishan,S Kaul,RG Sharma,4,0,4,,,,,,,,,
1,1,6,Ishan Kishan,S Kaul,RG Sharma,2,0,2,,,,,,,,,
1,2,1,RG Sharma,Mohammad Nabi,Ishan Kishan,4,0,4,,,,,,,,,
1,2,2,RG Sharma,Mohammad Nabi,Ishan Kishan,1,0,1,,,,,,,,,
1,2,3,Ishan Kishan,Mohammad Nabi,RG Sharma,4,0,4,,,,,,,,,
1,2,4,Ishan Kishan,Mohammad Nabi,RG Sharma,1,0,1,,,,,,,,,
1,2,5,RG Sharma,Mohammad Nabi,Ishan Kishan,1,0,1,,,,,,,,,
1,2,6,Ishan Kishan,Mohammad Nabi,RG Sharma,4,0,4,,,,,,,,,
1,3,1,RG Sharma,JO Holder,Ishan Kishan,4,0,4,,,,,,,,,
1,3,2,RG Sharma,JO Holder,Ishan Kishan,1,0,1,,,,,,,,,
1,3,3,Ishan Kishan,JO Holder,RG Sharma,2,0,2,,,,,,,,,
1,3,4,Ishan Kishan,JO Holder,RG Sharma,6,0,6,,,,,,,,,
1,3,5,Ishan Kishan,JO Holder,RG Sharma,0,1,1,1.0,,,,,,,,
1,3,6,Ishan Kishan,JO Holder,RG Sharma,4,0,4,,,,,,,,,
1,3,7,Ishan Kishan,JO Holder,RG Sharma,4,0,4,,,,,,,,,
1,4,1,RG Sharma,Umran Malik,Ishan Kishan,0,0,0,,,,,,,,,
1,4,2,RG Sharma,Umran Malik,Ishan Kishan,4,0,4,,,,,,,,,
1,4,3,RG Sharma,Umran Malik,Ishan Kishan,1,0,1,,,,,,,,,
1,4,4,Ishan Kishan,Umran Malik,RG Sharma,4,0,4,,,,,,,,,
1,4,5,Ishan Kishan,Umran Malik,RG Sharma,2,0,2,,,,,,,,,
1,4,6,Ishan Kishan,Umran Malik,RG Sharma,4,0,4,,,,,,,,,
1,5,1,RG Sharma,Rashid Khan,Ishan Kishan,1,0,1,,,,,,,,,
1,5,2,Ishan Kishan,Rashid Khan,RG Sharma,1,0,1,,,,,,,,,
1,5,3,RG Sharma,Rashid Khan,Ishan Kishan,0,0,0,,1.0,RG Sharma,,,,,,
1,5,4,Ishan Kishan,Rashid Khan,HH Pandya,1,0,1,,,,,,,,,
1,5,5,HH Pandya,Rashid Khan,Ishan Kishan,1,0,1,,,,,,,,,
1,5,6,Ishan Kishan,Rashid Khan,HH Pandya,1,0,1,,,,,,,,,
1,6,1,Ishan Kishan,Umran Malik,HH Pandya,0,0,0,,,,,,,,,
1,6,2,Ishan Kishan,Umran Malik,HH Pandya,4,0,4,,,,,,,,,
1,6,3,Ishan Kishan,Umran Malik,HH Pandya,1,0,1,,,,,,,,,
1,6,4,HH Pandya,Umran Malik,Ishan Kishan,1,0,1,,,,,,,,,
1,6,5,Ishan Kishan,Umran Malik,HH Pandya,6,0,6,,,,,,,,,
1,6,6,Ishan Kishan,Umran Malik,HH Pandya,1,0,1,,,,,,,,,
1,7,1,Ishan Kishan,Rashid Khan,HH Pandya,6,0,6,,,,,,,,,
1,7,2,Ishan Kishan,Rashid Khan,HH Pandya,1,0,1,,,,,,,,,
1,7,3,HH Pandya,Rashid Khan,Ishan Kishan,1,0,1,,,,,,,,,
1,7,4,Ishan Kishan,Rashid Khan,HH Pandya,1,0,1,,,,,,,,,
1,7,5,HH Pandya,Rashid Khan,Ishan Kishan,6,0,6,,,,,,,,,
1,7,6,HH Pandya,Rashid Khan,Ishan Kishan,1,0,1,,,,,,,,,
1,8,1,HH Pandya,JO Holder,Ishan Kishan,0,1,1,1.0,,,,,,,,
1,8,2,HH Pandya,JO Holder,Ishan Kishan,0,0,0,,,,,,,,,
1,8,3,HH Pandya,JO Holder,Ishan Kishan,0,0,0,,,,,,,,,
1,8,4,HH Pandya,JO Holder,Ishan Kishan,0,0,0,,1.0,HH Pandya,,,,,,
1,8,5,KA Pollard,JO Holder,Ishan Kishan,0,5,5,5.0,,,,,,,,
1,8,6,KA Pollard,JO Holder,Ishan Kishan,4,0,4,,,,,,,,,
1,8,7,KA Pollard,JO Holder,Ishan Kishan,1,0,1,,,,,,,,,
1,8,8,Ishan Kishan,JO Holder,KA Pollard,1,0,1,,,,,,,,,
1,9,1,Ishan Kishan,Umran Malik,KA Pollard,0,0,0,,1.0,Ishan Kishan,,,,,,
1,9,2,SA Yadav,Umran Malik,KA Pollard,4,0,4,,,,,,,,,
1,9,3,SA Yadav,Umran Malik,KA Pollard,0,0,0,,,,,,,,,
1,9,4,SA Yadav,Umran Malik,KA Pollard,1,0,1,,,,,,,,,
1,9,5,KA Pollard,Umran Malik,SA Yadav,1,0,1,,,,,,,,,
1,9,6,SA Yadav,Umran Malik,KA Pollard,1,0,1,,,,,,,,,
1,10,1,SA Yadav,S Kaul,KA Pollard,1,0,1,,,,,,,,,
1,10,2,KA Pollard,S Kaul,SA Yadav,0,0,0,,,,Mumbai Indians,Tapan Sharma,KA Pollard,upheld,,
