Match ID,Date,Venue,Bat First,Bat Second,Innings,Over,Ball,Batter,Non Striker,Bowler,Batter Runs,Extra Runs,Runs From Ball,Ball Rebowled,Extra Type,Wicket,Method,Player Out,Innings Runs,Innings Wickets,Target Score,Runs to Get,Balls Remaining,Winner,Chased Successfully,Total Batter Runs,Total Non Striker Runs,Batter Balls Faced,Non Striker Balls Faced,Player Out Runs,Player Out Balls Faced,Bowler Runs Conceded,Valid Ball,BattingTeam,BowlingTeam,Batter_Historical_Avg,Bowler_Historical_Economy,Batter_vs_Bowler_Avg,Team_Powerplay_Performance,Match_Phase,Cumulative Runs,Cumulative Wickets,Balls Bowled,Overs Completed,Current Run Rate,Is_Chasing,Required Run Rate,Chase Differential
,,,,,1,1,1,RG Sharma,Ishan Kishan,Mohammad Nabi,1,0,1,,,0,,,1,0,,,119,,,,,,,,,,,Mumbai Indians,Sunrisers Hyderabad,0,0,0,0,0,1,0,1,0.16666666666666666,6.0,0,0,0
,,,,,1,1,2,Ishan Kishan,RG Sharma,Mohammad Nabi,6,0,6,,,0,,,7,0,,,118,,,,,,,,,,,Mumbai Indians,Sunrisers Hyderabad,0,0,0,0,0,7,0,2,0.3333333333333333,21.0,0,0,0
,,,,,1,1,3,Ishan Kishan,RG Sharma,Mohammad Nabi,0,0,0,,,0,,,7,0,,,117,,,,,,,,,,,Mumbai Indians,Sunrisers Hyderabad,0,0,0,0,0,7,0,3,0.5,14.0,0,0,0
,,,,,1,1,4,Ishan Kishan,RG Sharma,Mohammad Nabi,1,0,1,,,0,,,8,0,,,116,,,,,,,,,,,Mumbai Indians,Sunrisers Hyderabad,0,0,0,0,0,8,0,4,0.6666666666666666,12.0,0,0,0
,,,,,1,1,5,RG Sharma,Ishan Kishan,Mohammad Nabi,0,0,0,,,0,,,8,0,,,115,,,,,,,,,,,Mumbai Indians,Sunrisers Hyderabad,0,0,0,0,0,8,0,5,0.8333333333333334,9.6,0,0,0
,,,,,1,1,6,RG Sharma,Ishan Kishan,Mohammad Nabi,0,0,0,,,0,,,8,0,,,114,,,,,,,,,,,Mumbai Indians,Sunrisers Hyderabad,0,0,0,0,0,8,0,6,1.0,8.0,0,0,0
,,,,,1,2,1,Ishan Kishan,RG Sharma,S Kaul,0,0,0,,,0,,,8,0,,,113,,,,,,,,,,,Mumbai Indians,Sunrisers Hyderabad,0,0,0,0,0,8,0,7,1.1666666666666667,6.857142857142857,0,0,0
,,,,,1,2,2,Ishan Kishan,RG Sharma,S Kaul,4,0,4,,,0,,,12,0,,,112,,,,,,,,,,,Mumbai Indians,Sunrisers Hyderabad,0,0,0,0,0,12,0,8,1.3333333333333333,9.0,0,0,0
,,,,,1,2,3,Ishan Kishan,RG Sharma,S Kaul,4,0,4,,,0,,,16,0,,,111,,,,,,,,,,,Mumbai Indians,Sunrisers Hyderabad,0,0,0,0,0,16,0,9,1.5,10.666666666666666,0,0,0
,,,,,1,2,4,Ishan Kishan,RG Sharma,S Kaul,4,0,4,,,0,,,20,0,,,110,,,,,,,,,,,Mumbai Indians,Sunrisers Hyderabad,0,0,0,0,0,20,0,10,1.6666666666666667,12.0,0,0,0
,,,,,1,2,5,Ishan Kishan,RG Sharma,S Kaul,4,0,4,,,0,,,24,0,,,109,,,,,,,,,,,Mumbai Indians,Sunrisers Hyderabad,0,0,0,0,0,24,0,11,1.8333333333333333,13.090909090909092,0,0,0
,,,,,1,2,6,Ishan Kishan,RG Sharma,S Kaul,2,0,2,,,0,,,26,0,,,108,,,,,,,,,,,Mumbai Indians,Sunrisers Hyderabad,0,0,0,0,0,26,0,12,2.0,13.0,0,0,0
,,,,,1,3,1,RG Sharma,Ishan Kishan,Mohammad Nabi,4,0,4,,,0,,,30,0,,,107,,,,,,,,,,,Mumbai Indians,Sunrisers Hyderabad,0,0,0,0,0,30,0,13,2.1666666666666665,13.846153846153847,0,0,0
,,,,,1,3,2,RG Sharma,Ishan Kishan,Mohammad Nabi,1,0,1,,,0,,,31,0,,,106,,,,,,,,,,,Mumbai Indians,Sunrisers Hyderabad,0,0,0,0,0,31,0,14,2.3333333333333335,13.285714285714285,0,0,0
,,,,,1,3,3,Ishan Kishan,RG Sharma,Mohammad Nabi,4,0,4,,,0,,,35,0,,,105,,,,,,,,,,,Mumbai Indians,Sunrisers Hyderabad,0,0,0,0,0,35,0,15,2.5,14.0,0,0,0
